,distance,number_of_the_match,official_code,official_job_name,matched_Title,matched_Description
1127,137.58481,1,15-1243.00,Database Architects,Cloud Solution Architect | Data & Analytics,
1128,105.67384,1,13-1199.04,Business Continuity Planners,Consulting Account Manager,
1129,157.35944,1,27-3099.00,"Media and Communication Workers, All Other",Data Consultant Energy (all genders),
1130,134.17099,1,11-9033.00,"Education Administrators, Postsecondary",Superviseur de production – poste permanent,
1131,146.80962,1,11-9141.00,"Property, Real Estate, and Community Association Managers",Head of Developer Relations (DK),
1132,101.94229,1,27-2012.03,Media Programming Directors,Communications Coordinator,
1133,187.73045,1,43-4171.00,Receptionists and Information Clerks,Bilingual Receptionist,
1134,114.27545,1,25-1054.00,"Physics Teachers, Postsecondary",Assistant Professor of Physics - Quantum Materials and Technologies,
1135,72.88351,1,11-3012.00,Administrative Services Managers,Portfolio Manager,
1136,66.78455,1,15-1243.01,Data Warehousing Specialists,Data Engineer,
1137,95.56526,1,25-9031.00,Instructional Coordinators,Learning & Knowledge Specialist,
1138,72.312164,1,17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,"Research Scientist or Engineer, Robotics/Electromechanical Systems",
1139,147.02776,1,43-4061.00,"Eligibility Interviewers, Government Programs",Entry Level - Associate Data Scientist (Federal),
1140,107.37363,1,11-9199.02,Compliance Managers,Agent du service clientèle,
1141,125.239075,1,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Sales Manager Governmental and Defense DACH region (m/f/d),
1142,43.78887,1,11-2022.00,Sales Managers,Salesperson,
1143,99.10358,1,13-1199.07,Security Management Specialists,Partner Strategy Lead Security,
1144,99.10358,1,13-1199.07,Security Management Specialists,Partner Strategy Lead Security,
1145,162.94388,1,27-3099.00,"Media and Communication Workers, All Other",eMobility Charging Consultant (all genders),
1146,168.61531,1,27-2012.05,Media Technical Directors/Managers,Manager Immobilien / ESG (m/w/d) in Köln,
1147,225.90656,1,19-1031.02,Range Managers,Manager Immobilien / ESG (m/w/d) in München,
1148,139.2634,1,19-2041.03,Industrial Ecologists,Modern Work Cloud Specialist for Lifesciences and Chemicals,
1149,137.58481,1,15-1243.00,Database Architects,Cloud Solution Architect | Data & Analytics,
1150,144.68135,1,15-1211.01,Health Informatics Specialists,Healthcare Go-To-Market (GTM) Manager,
1151,130.47125,1,19-4099.01,Quality Control Analysts,Output Management Dopix (f/m/x),
1152,137.58481,1,15-1243.00,Database Architects,Cloud Solution Architect | Data & Analytics,
1153,105.67384,1,13-1199.04,Business Continuity Planners,Consulting Account Manager,
1154,157.35944,1,27-3099.00,"Media and Communication Workers, All Other",Data Consultant Energy (all genders),
1155,134.17099,1,11-9033.00,"Education Administrators, Postsecondary",Superviseur de production – poste permanent,
1156,146.80962,1,11-9141.00,"Property, Real Estate, and Community Association Managers",Head of Developer Relations (DK),
1157,101.94229,1,27-2012.03,Media Programming Directors,Communications Coordinator,
1158,187.73045,1,43-4171.00,Receptionists and Information Clerks,Bilingual Receptionist,
1159,114.27545,1,25-1054.00,"Physics Teachers, Postsecondary",Assistant Professor of Physics - Quantum Materials and Technologies,
1160,72.88351,1,11-3012.00,Administrative Services Managers,Portfolio Manager,
1161,66.78455,1,15-1243.01,Data Warehousing Specialists,Data Engineer,
1162,95.56526,1,25-9031.00,Instructional Coordinators,Learning & Knowledge Specialist,
1163,72.312164,1,17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,"Research Scientist or Engineer, Robotics/Electromechanical Systems",
1164,147.02776,1,43-4061.00,"Eligibility Interviewers, Government Programs",Entry Level - Associate Data Scientist (Federal),
1165,107.37363,1,11-9199.02,Compliance Managers,Agent du service clientèle,
1166,125.239075,1,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Sales Manager Governmental and Defense DACH region (m/f/d),
1167,43.78887,1,11-2022.00,Sales Managers,Salesperson,
1168,139.2634,1,19-2041.03,Industrial Ecologists,Modern Work Cloud Specialist for Lifesciences and Chemicals,
1169,126.96854,1,15-1299.09,Information Technology Project Managers,Technical Specialist - Cloud Endpoint,
1170,157.7619,1,17-3019.00,"Drafters, All Other",Funknetzplaner (all genders),
1171,196.99692,1,25-1011.00,"Business Teachers, Postsecondary",Manager Immobilien / ESG (m/w/d) in Frankfurt (Main),
1172,146.50348,1,27-3099.00,"Media and Communication Workers, All Other",Praktikant / Werkstudent Batteriespeicher (all genders),
1173,181.58443,1,19-4099.00,"Life, Physical, and Social Science Technicians, All Other",Projektleitung Strategie & Digital Energy (all genders),
1174,158.72047,1,25-9049.00,"Teaching Assistants, All Other",Agiler Coach / Technical Coach (all genders),
1175,130.47122,1,19-4099.01,Quality Control Analysts,Output Management Dopix (f/m/x),
